prompt,completion,result
"A shipping company can purchase regular and hybrid vans to make deliveries. A regular van can deliver 500 packages per day and produces 200 units of pollutants. A hybrid van can deliver 300 packages per day and produces 100 units of pollutants. Due to a new environmental law, they can produce at most 7000 units of pollutants per day. However, the company needs to be able to deliver at least 20000 packages per day. How many of each type of van should they buy to minimize the total number of vans needed?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Vans"", LpMinimize)

# Variables
x = LpVariable(""Regular Vans"", lowBound=0, cat='Integer')
y = LpVariable(""Hybrid Vans"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 500*x + 300*y >= 20000  # Delivery constraint
prob += 200*x + 100*y <= 7000  # Pollutants constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",60
"In order to make carbon dioxide, wood is burned using two processes, with a catalyst and without a catalyst. The process with a catalyst requires 10 units of wood and 20 units of oxygen to make 15 units of carbon dioxide. The process without a catalyst requires 15 units of wood and 12 units of oxygen to make 18 units of carbon dioxide. There are 300 units of wood and 300 units of oxygen available. How many of each process should be used to maximize the amount of carbon dioxide produced?¶","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize CO2 Production"", LpMaximize)

# Variables
x = LpVariable(""Process with Catalyst"", lowBound=0, cat='Integer')
y = LpVariable(""Process without Catalyst"", lowBound=0, cat='Integer')

# Objective function
prob += 15*x + 18*y

# Constraints
prob += 10*x + 15*y <= 300  # Wood constraint
prob += 20*x + 12*y <= 300  # Oxygen constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",369
"A tea estate has available 500 acres of land and they need to pick the tea leaves either using a traditional machine or modern machine. For each acre of land, the traditional machine can pick 30 kg of tea leaves, creates 10 kg of waste, and requires 20 liters of fuel. For each acre of land, the modern machine can pick 40 kg of tea leaves, creates 15 kg of waste, and requires 15 liters of fuel. The estate has available 9000 liters of fuel can handle at most 6000 kg of waste. For how many acres should each machine be used to maximize the amount of tea leaves that can be picked?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Tea Leaf Picking"", LpMaximize)

# Variables
x = LpVariable(""Acres for Traditional Machine"", lowBound=0, cat='Continuous')
y = LpVariable(""Acres for Modern Machine"", lowBound=0, cat='Continuous')

# Objective function
prob += 30*x + 40*y

# Constraints
prob += 20*x + 15*y <= 9000  # Fuel constraint
prob += 10*x + 15*y <= 6000  # Waste constraint
prob += x + y <= 500         # Land constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",17000
"A grilled cheese shop sells a light and heavy grilled cheese sandwich. A light grilled cheese sandwich requires 2 slices of bread and 3 slices of cheese. A heavy grilled cheese sandwich requires 3 slices of bread and 5 slices of cheese. Since most people who come to the store love grilled cheese, the store must make at least 3 times as many heavy grilled cheese sandwiches as light grilled cheese sandwiches. The store has available 300 slices of bread and 500 slices of cheese. If a light grilled cheese sandwich takes 10 minutes to make and a heavy grilled cheese sandwich takes 15 minutes to make, how many of each should they make to minimize the total production time?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Production Time"", LpMinimize)

# Variables
x = LpVariable(""Light sandwiches"", lowBound=0, cat='Integer')
y = LpVariable(""Heavy sandwiches"", lowBound=0, cat='Integer')

# Objective function
prob += 10*x + 15*y

# Constraints
prob += 2*x + 3*y <= 300   # Bread constraint
prob += 3*x + 5*y <= 500   # Cheese constraint
prob += y >= 3*x           # Heavy sandwich constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",0
"A post office is buying stamping machines and they can buy a dual or single model stamping machine. A dual model stamping machine can stamp 50 letters per minute while a single model stamping machine can stamp 30 letters per minute. The dual model stamping machine requires 20 units of glue per minute while the single model stamping machine requires 15 units of glue per minute. Since the single model stamping machine is quieter, the number of single model stamping machines must be more than the number of dual model stamping machines. Further, the post office wants to make sure they can stamp at least 300 letters per minute and use at most 135 units of glue per minute. How many of each stamping machine should they purchase to minimize the total number of stamping machines?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Stamping_Machines"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of dual model machines
y = LpVariable('y', lowBound=0, cat='Integer')  # number of single model machines

# Objective function
prob += x + y, ""Total_Machines""

# Constraints
prob += 50*x + 30*y >= 300, ""Letters_Stamping_Constraint""
prob += 20*x + 15*y <= 135, ""Glue_Usage_Constraint""
prob += y >= x + 1, ""Machine_Type_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",8
"A banana company sells their bananas in small and large crates. A small crate can hold 20 bananas while a large crate can hole 50 bananas. Since large crates are more manageable, the number of large crates must be at least twice the number of small crates. However, at least 5 small crates should be used. If the company has available 500 bananas, how many of each crate should the company use to maximize the total number of crates produced?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Crates"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=5, cat='Integer')  # number of small crates
y = LpVariable('y', lowBound=0, cat='Integer')  # number of large crates

# Objective function
prob += x + y, ""Total_Crates""

# Constraints
prob += 20*x + 50*y <= 500, ""Banana_Quantity_Constraint""
prob += y >= 2*x, ""Large_Crate_Requirement_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"A crepe store sells chocolate and peanut butter crepes. A chocolate crepe requires 3 units of chocolate spread and 6 units of crepe mix. A peanut butter crepe requires 4 units of peanut butter spread and 7 units of crepe mix. Recently, the peanut butter crepe has been more popular and therefore the number of peanut butter crepes made must exceed the number of chocolate crepes made. However at least 25% of the crepes made should be chocolate. The store has available 400 units of chocolate spread and 450 units of peanut butter spread. How many of each should the store make to minimize the total amount of crepe mix needed?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Crepe Mix"", LpMinimize)

# Variables
x = LpVariable(""Chocolate Crepes"", lowBound=1, cat='Integer')
y = LpVariable(""Peanut Butter Crepes"", lowBound=1, cat='Integer')

# Objective function
prob += 6*x + 7*y

# Constraints
prob += 3*x <= 400   # Chocolate spread constraint
prob += 4*y <= 450   # Peanut butter spread constraint
prob += x >= 0.25*(x + y)   # At least 25% of crepes should be chocolate
prob += y>=x

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",13
"A fire department employs regular and emergency fire fighters. A regular fire fighter works 10 hours per shift and earns 300. An emergency fire fighter works 6 hours per shift and earns 100. Due to wildfires in the region, the fire department needs at least 300 hours of fire fighter time. If the fire department has a budget of 7000, how many of each should the fire department hire to minimize the total number of fire fighters?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Fire Fighters"", LpMinimize)

# Variables
x = LpVariable(""Regular Fire Fighters"", lowBound=0, cat='Integer')
y = LpVariable(""Emergency Fire Fighters"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 10*x + 6*y >= 300   # Total hours constraint
prob += 300*x + 100*y <= 7000   # Budget constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",40
"A mall buys two types of hand sanitizer machines, a motion activated one and a manual one. The motion activated one can deliver 50 drops per minute and consumes 30 kWh. The manual one can deliver 75 drops per minute and consumes 20 kWh. Since the motion activated one is more hygienic, at most 40% of the machines can be manual. In addition, at least 3 should be motion activated. If the mall must be able to deliver at least 1000 drops per minute and can use at most 500 kWh per minute, how many of each machine should they buy to minimize the total number of machines?","#
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Machines"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=3, cat='Integer')  # number of motion activated machines
y = LpVariable('y', lowBound=0, cat='Integer')  # number of manual machines

# Objective function
prob += x + y, ""Total_Machines""

# Constraints
prob += 50*x + 75*y >= 1000, ""Drop_Delivery_Constraint""
prob += 30*x + 20*y <= 500, ""Energy_Consumption_Constraint""
prob += y <= 0.4 * (x + y), ""Machine_Type_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",17
"A hot dog company can build two types of butcher shops, a small shop and a large shop. A small shop can make 30 hot dogs per day and requires 2 workers. A large shop can make 70 hot dogs per day and requires 4 workers. The company must make at least 500 hot dogs per day but they only have available 30 workers. How many of each butcher shop should the company build to minimize the total number of butcher shops?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Butcher Shops"", LpMinimize)

# Variables
x = LpVariable(""Small Shops"", lowBound=0, cat='Integer')
y = LpVariable(""Large Shops"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 30*x + 70*y >= 500   # Production constraint
prob += 2*x + 4*y <= 30      # Labor constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",8
"An airport buys two types of vehicles, a 4-wheeler and 3-wheeler, to help move luggage. A 4-wheeler vehicle can move 60 luggage per day and produces 30 units of pollutant per day. A 3-wheeler vehicle can move 40 luggage per day and produces 15 units of pollutant per day. The airport needs to be able to move at least 1000 luggage per day. To avoid over-polluting the airport, they can produce at most 430 units of pollutant per day. How many of each vehicle should the airport buy to minimize the total number of vehicles needed.","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Vehicles"", LpMinimize)

# Variables
x = LpVariable(""Four Wheeler Vehicles"", lowBound=0, cat='Integer')
y = LpVariable(""Three Wheeler Vehicles"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 60*x + 40*y >= 1000   # Luggage movement constraint
prob += 30*x + 15*y <= 430   # Pollution constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",22
"A scientist is conducting two experiments to produce electricity, experiment alpha and experiment beta. In experiment alpha, 3 units of metal and 5 units of acid are required to produce 8 units of electricity. In experiment beta, 5 units of metal and 4 units of acid are required to produced 10 units of electricity. The lab has 800 units of metal and 750 units of acid available. How many of each experiment should the scientist conduct to maximize the total amount of electricity produced?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Electricity Production"", LpMaximize)

# Variables
x = LpVariable(""Experiment Alpha"", lowBound=0, cat='Integer')
y = LpVariable(""Experiment Beta"", lowBound=0, cat='Integer')

# Objective function
prob += 8*x + 10*y

# Constraints
prob += 3*x + 5*y <= 800   # Metal constraint
prob += 5*x + 4*y <= 750   # Acid constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",1680
"A man fishes in a 250 acre lake and can catch fish either using a net or fishing line. For each acre of the lake, using a net will catch 8 fish and requires 4 units of bait but also causes 2 units of pain for the fisherman. For each acre of the lake, using a fishing line will catch 5 fish and requires 3 units of bait but also causes 1 unit of pain for the fisherman. The fisherman has available 800 units of bait and can tolerate at most 350 units of pain. For how many acres each should he use each fishing method to maximize the amount of fish he can catch?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Fish_Caught"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # acres used for fishing with a net
y = LpVariable('y', lowBound=0, cat='Continuous')  # acres used for fishing with a fishing line

# Objective function
prob += 8*x + 5*y, ""Total_Fish_Caught""

# Constraints
prob += 4*x + 3*y <= 800, ""Bait_Constraint""
prob += 2*x + y <= 350, ""Pain_Tolerance_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",1500
"A coffee shop sells mochas and regular coffees. Each mocha requires 3 units of coffee powder and 6 units of milk. Each regular coffee requires 6 units of coffee powder and 2 units of milk. The shop has available 400 units of coffee powder and 500 units of milk. Making a mocha takes 5 minutes and making a regular coffee takes 3 minutes. Since mochas are more popular among people, the shop must make at least 3 times as many mochas as regular coffees. How many of each should they make to minimize the total production time?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Production Time"", LpMinimize)

# Variables
x = LpVariable(""Mochas"", lowBound=0, cat='Integer')
y = LpVariable(""Regular Coffees"", lowBound=0, cat='Integer')

# Objective function
prob += 5*x + 3*y

# Constraints
prob += 3*x + 6*y <= 400   # Coffee powder constraint
prob += 6*x + 2*y <= 500   # Milk constraint
prob += x >= 3*y           # Mocha popularity constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",0
"A butcher shop is buying meat slicers for their shop, a manual and automatic slicer. The manual slicer can cut 5 slices per minute while the automatic slicer can cut 8 slices per minute. In addition, to make sure all the parts operate smoothly, the manual slicer requires 3 units of grease per minute while the automatic slicer requires 6 units of grease per minute. Since the automatic slicer does not need someone to operate it, the number of manual slicers must be less than the number of automatic slicers. In addition, the butcher shop needs to be able to cut at least 50 slices per minute but can use at most 35 units of grease per minute. How many of each slicer should the butcher shop buy to minimize the total number of slicers in the shop?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Slicers"", LpMinimize)

# Variables
x = LpVariable(""Manual Slicers"", lowBound=0, cat='Integer')
y = LpVariable(""Automatic Slicers"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 5*x + 8*y >= 50   # Slicing capacity constraint
prob += 3*x + 6*y <= 35   # Grease constraint
prob += x <= y            # Slicer preference constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"A water company sells water in glass and plastic bottles. A glass bottle can hole 500 ml of water while a plastic bottle can hold 750 ml of water. Because most customer prefer plastic bottles, the number of plastic bottles must be at least 3 times the number of glass bottles. However, there must be at least 20 glass bottles. If the company has available 250000 ml of water, how many of each bottle should be made to maximize the total number of bottles?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Bottles"", LpMaximize)

# Variables
x = LpVariable(""Glass Bottles"", lowBound=20, cat='Integer')
y = LpVariable(""Plastic Bottles"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 500*x + 750*y <= 250000   # Water availability constraint
prob += y >= 3*x                 # Plastic preference constraint
# No need to add x >= 20, as it's already included in the variable definition x >= 20

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",363
"An Indian restaurant makes goat and chicken curry. Each bowl of goat curry requires 3 units of goat meat and 6 units of the curry base. Each bowl of chicken curry requires 5 units of chicken meat and 5 units of the curry base. The restaurant has available 1500 units of goat meat and 2000 units of chicken meat. At least 25% of the bowls made must be chicken curry. Since goat curry is more popular, the number of goat curry bowls must be larger than the number of chicken curry bowls. How many of each type of curry bowl should be made to minimize the total amount of curry base used?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Curry Base"", LpMinimize)

# Variables
x = LpVariable(""Goat Curry Bowls"", lowBound=0, cat='Integer')
y = LpVariable(""Chicken Curry Bowls"", lowBound=0, cat='Integer')

# Objective function
prob += 6*x + 5*y

# Constraints
prob += 3*x <= 1500             # Goat meat constraint
prob += 5*y <= 2000             # Chicken meat constraint
prob += 3*x >= y                # Chicken curry proportion constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",0
"An accounting firm employs part time workers and full time workers. Full time workers work 8 hours per shift while part time workers work 4 hours per shift. In addition, full time workers are paid 300 per shift while part time workers are paid 100 per shift. Currently, the accounting firm has a project requiring 500 hours of labor. If the firm has a budget of 15000, how many of each type of worker should be scheduled to minimize the total number of workers.","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Workers"", LpMinimize)

# Variables
x = LpVariable(""Full-time Workers"", lowBound=0, cat='Integer')
y = LpVariable(""Part-time Workers"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 8*x + 4*y >= 500        # Labor hour constraint
prob += 300*x + 100*y <= 15000  # Budget constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",100
"A factory has two machines, A and B. Each day, machine A can make 30 items and consumes 100 kWh. Machine B can make 50 items and consumes 120 kWh per day. The factory must produce at least 1000 items per day and has 3000 kWh of electricity available per day. Since there are not many workers that can operate both machines, at most 30% of the machines must be of type B. Further, at least 5 machines of type A should be used. How many of each machine should be used to minimize the total number of machines?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Machines"", LpMinimize)

# Variables
x = LpVariable(""Machines_A"", lowBound=5, cat='Integer')
y = LpVariable(""Machines_B"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 30*x + 50*y >= 1000        # Production constraint
prob += 100*x + 120*y <= 3000     # Electricity constraint
prob += y <= 0.3 * (x + y)        # Machine type constraint for B
prob += x >= 5                    # Machine type constraint for A

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",28
"A toy company can build two factory types, a medium sized factory and a small factory. A medium sized factory can make 50 toys per day and requires 3 operators. A small factory can make 35 toys per day and requires 2 operators. The company must make at least 250 toys per day but they only have available 16 operators. How many of each factory should the company build to minimize the total number of factories?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Factories"", LpMinimize)

# Variables
x = LpVariable(""Medium_Factories"", lowBound=0, cat='Integer')
y = LpVariable(""Small_Factories"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 50*x + 35*y >= 250     # Production constraint
prob += 3*x + 2*y <= 16        # Operator constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",5
"A chemical plant can buy two types of generators, generator A and generator B, which use two different processes to generate hydrogen. Generator A uses an electrolysis process and produces 40 cubic meters of hydrogen as well as 300 units of pollutants every day. Generator B uses a fermentation process to produce 30 cubic meters of hydrogen per day while outputting 200 units of pollutants. The chemical plant must make a minimum of 1000 cubic meters of hydrogen per day but due to environmental restrictions they can produce at most 3000 units of pollutant. How many of each type of generator should they buy to minimize the number of generators needed?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Generators"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of generator A
y = LpVariable('y', lowBound=0, cat='Integer')  # number of generator B

# Objective function
prob += x + y, ""Total_Generators""

# Constraints
prob += 40*x + 30*y >= 1000, ""Hydrogen_Production_Constraint""
prob += 300*x + 200*y <= 3000, ""Pollutant_Limitation_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"There are two chemical reactions, chemical reaction A and chemical reaction B. Chemical reaction A requires 5 units of rare inert gas and 6 units of treated water to produce 10 units of a rare compound. Chemical reaction B requires 7 units of rare inert gas and 3 units of treater water to produce 8 units of a rare compound. There are 1000 units of the rare inert gas and 800 units of treated water available in the lab. How many reactions of each type should be done to maximize the amount of rare compound produced?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Rare Compound"", LpMaximize)

# Variables
x = LpVariable(""Reaction_A"", lowBound=0, cat='Integer')
y = LpVariable(""Reaction_B"", lowBound=0, cat='Integer')

# Objective function
prob += 10*x + 8*y

# Constraints
prob += 5*x + 7*y <= 1000    # Rare inert gas constraint
prob += 6*x + 3*y <= 800    # Treated water constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",1552
"A mining company has available a total of 100 square miles of mining sites and considering the use of two mining techniques: heap leaching and vat leaching. For each square mile of land, heap leaching technique can have a daily production of 3 tons of rare earth oxide per square miles but it also creates 8 tons of polluted wastewater and requires 10 extraction machines. On the other hand, vat leaching technique produces 5 tons of rare earth oxide per square miles per day while creating 17 tons of polluted wastewater and requiring 20 extraction machines. There are 100 machines available and due to environmental regulations, the amount of polluted wastewater must be at most 90 tons daily. Find the proportion of lands that use each mining technique in order to maximize the daily production of rare earth oxide.","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Rare Earth Oxide Production"", LpMaximize)

# Variables
x = LpVariable(""Heap_Leaching"", lowBound=0, cat='Continuous')
y = LpVariable(""Vat_Leaching"", lowBound=0, cat='Continuous')

# Objective function
prob += 3*x + 5*y

# Constraints
prob += x + y <= 100      # Land availability constraint
prob += 10*x + 20*y <= 100   # Machine constraint
prob += 8*x + 17*y <= 90    # Wastewater constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",30
"A small chocolate shop makes milk chocolate and dark chocolate bars. Milk chocolate bars require 4 units of cocoa and 7 units of milk. Dark chocolate bars require 6 units of cocoa and 3 units of milk. The shop has 2000 units of cocoa and 1750 units of milk available. In addition since milk chocolate sells better, at least 2 times as many milk chocolate bars need to be made as dark chocolate bars. If making a milk chocolate bar takes 15 minutes and making a dark chocolate bar takes 12 mins, how many of each should the make to minimize total production time?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Production Time"", LpMinimize)

# Variables
x = LpVariable(""Milk_Chocolate"", lowBound=0, cat='Continuous')
y = LpVariable(""Dark_Chocolate"", lowBound=0, cat='Continuous')

# Objective function
prob += 15*x + 12*y

# Constraints
prob += 4*x + 6*y <= 2000   # Cocoa constraint
prob += 7*x + 3*y <= 1750   # Milk constraint
prob += x >= 2*y            # Demand constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",0
"An office is buying printers for their headquarters, a premium model and regular model. The premium model can print 30 pages per minute while the regular model can print 20 pages per minute. In addition, the premium model requires 4 units of ink per minute while the regular model requires 3 units of ink per minute. The office wants to make sure that at least 200 pages can be printed per minute and that at most 35 units of ink are used per minute. Since the premium model is more user friendly, the number regular printers must be less than the number of premium printers. How many of each printer should be bought to minimize the total number of printers in the office?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Number of Printers"", LpMinimize)

# Variables
x = LpVariable(""Premium_Printers"", lowBound=0, cat='Integer')
y = LpVariable(""Regular_Printers"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 3*x + 2*y >= 20   # Printing speed constraint
prob += 4*x + 3*y <= 35   # Ink constraint
prob += lpSum([y]) <= lpSum([x])   # Premium model preference: y < x

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",7
"A vine company sells vine in vintage and regular bottles. A vintage bottle can hold 500 ml of vine while a regular bottle can hold 750 ml of vine. The company has available 100000 ml of vine. Because vintage bottles are mostly bought by collectors, the number of regular bottles must be at least 4 times as much as the number of vintage bottles. However, at least 10 vintage bottles must be made. How many of each should be made to maximize the total number of bottles produced?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Number of Bottles"", LpMaximize)

# Variables
x = LpVariable(""Vintage_Bottles"", lowBound=0, cat='Integer')
y = LpVariable(""Regular_Bottles"", lowBound=0, cat='Integer')

# Objective function
prob += x + y

# Constraints
prob += 500*x + 750*y <= 100000    # Vine availability constraint
prob += y >= 4*x                  # Ratio constraint
prob += x >= 10                   # Minimum vintage bottles constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",142
"A candy company is making peach flavored candy and cherry flavored candy. Each pack of peach flavored candy requires 3 units of peach flavoring and 5 units of special syrup. Each pack of cherry flavored candy requires 5 units of cherry flavoring and 4 units of special syrup. The company has available 3000 units of peach flavoring and 4000 units of cherry flavoring. Peach candy is much more popular and thus the number of peach candy packs must be larger than the number of cherry candy packs. In addition, at least 30% of the pack must be cherry flavored. How many of each should be made to minimize the total amount of special syrup used?","#
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Special_Syrup"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=1, cat='Integer')  # number of peach flavored candy packs
y = LpVariable('y', lowBound=1, cat='Integer')  # number of cherry flavored candy packs

# Objective function
prob += 5*x + 4*y, ""Total_Special_Syrup""

# Constraints
prob += 3*x <= 3000, ""Peach_Flavoring_Constraint""
prob += 5*y <= 4000, ""Cherry_Flavoring_Constraint""
prob += x >= y, ""Pack_Ratio_Constraint""
prob += y >= 0.3 * (x + y), ""Minimum_Cherry_Flavor_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",9
"A patient in the hospital can take two pills, Pill 1 and Pill 2. Per pill, pill 1 provides 0.2 units of pain medication and 0.3 units of anxiety medication. Per pill, pill 2 provides 0.6 units of pain medication and 0.2 units of anxiety medication. In addition, pill 1 causes 0.3 units of discharge while pill 2 causes 0.1 units of discharge. At most 6 units of pain medication can be provided and at least 3 units of anxiety medication must be provided. How many pills of each should the patient be given to minimize the total amount of discharge?","#
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Discharge"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of pills of Pill 1
y = LpVariable('y', lowBound=0, cat='Integer')  # number of pills of Pill 2

# Objective function
prob += 0.3*x + 0.1*y, ""Total_Discharge""

# Constraints
prob += 0.2*x + 0.6*y <= 6, ""Pain_Medication_Constraint""
prob += 0.3*x + 0.2*y >= 3, ""Anxiety_Medication_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",2.3
"A man on a strict diet only drinks meal replacement drinks from two brands, alpha and omega. The alpha brand drink contains 30 grams of protein, 20 grams of sugar, and 350 calories per bottle. The omega brand drink contains 20 grams of protein, 15 grams of sugar, and 300 calories per bottle. The man wants to get at least 100 grams of protein and 2000 calories. In addition, because the omega brand drink contains tiny amounts of caffeine, at most 35% of the drink should be omega brand. How many bottles of each should he drink to minimize his sugar intake?","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Sugar Intake"", LpMinimize)

# Variables
x = LpVariable(""Bottles_of_Alpha"", lowBound=0, cat='Integer')
y = LpVariable(""Bottles_of_Omega"", lowBound=0, cat='Integer')

# Objective function
prob += 20*x + 15*y

# Constraints
prob += 30*x + 20*y >= 100         # Protein constraint
prob += 350*x + 300*y >= 2000      # Calorie constraint
prob += y <= 0.35*(x + y)          # Proportion constraint for omega brand
prob += x >= 0                     # Non-negativity constraint
prob += y >= 0                     # Non-negativity constraint

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",110
